DateTime,Total
11/26/2021 23:00,171.65168
11/27/2021 23:00,146.7889408
11/28/2021 23:00,306.4474342
11/29/2021 23:00,316.7329519
11/30/2021 23:00,302.0712053
12/1/2021 23:00,304.1379681
12/2/2021 23:00,325.0160706
12/3/2021 23:00,128.5062942
12/4/2021 23:00,131.4081469
12/5/2021 23:00,293.7933486
12/6/2021 23:00,309.5885178
12/7/2021 23:00,371.4761656
12/8/2021 23:00,321.1900067
12/9/2021 23:00,304.4394256
12/10/2021 23:00,241.1298175
12/11/2021 23:00,140.2688189
12/12/2021 23:00,297.0793003
12/13/2021 23:00,363.77804
12/14/2021 23:00,326.1760194
12/15/2021 23:00,315.2560636
12/16/2021 23:00,340.3825875
12/17/2021 23:00,224.625105
12/18/2021 23:00,139.5121694
12/19/2021 23:00,416.886185
12/20/2021 23:00,396.2044644
12/21/2021 23:00,425.0799853
12/22/2021 23:00,396.3642903
12/23/2021 23:00,126.9990861
12/24/2021 23:00,128.8175411
12/25/2021 23:00,125.7220922
12/26/2021 23:00,255.2334169
12/27/2021 23:00,280.3338539
12/28/2021 23:00,249.48606
12/29/2021 23:00,173.9109972
12/30/2021 23:00,128.7815619
12/31/2021 23:00,127.1384961
1/1/2022 23:00,128.3421194
1/2/2022 23:00,268.0286672
1/3/2022 23:00,260.9729397
1/4/2022 23:00,255.4896653
1/5/2022 23:00,141.6352908
1/6/2022 23:00,265.8574958
1/7/2022 23:00,140.5880253
1/8/2022 23:00,134.1272844
1/9/2022 23:00,360.4405058
1/10/2022 23:00,313.2818258
1/11/2022 23:00,304.5060672
1/12/2022 23:00,301.0737517
1/13/2022 23:00,282.9927131
1/14/2022 23:00,134.2145683
1/15/2022 23:00,131.7931956
1/16/2022 23:00,357.584785
1/17/2022 23:00,333.4654144
1/18/2022 23:00,395.9431944
1/19/2022 23:00,381.1836303
1/20/2022 23:00,323.1348772
1/21/2022 23:00,135.5150347
1/22/2022 23:00,133.3709017
1/23/2022 23:00,354.9562169
1/24/2022 23:00,380.2846153
1/25/2022 23:00,345.6045719
1/26/2022 23:00,348.4597008
1/27/2022 23:00,353.5898892
1/28/2022 23:00,139.4746544
1/29/2022 23:00,129.8716447
1/30/2022 23:00,360.0537625
1/31/2022 23:00,321.8383383
2/1/2022 23:00,314.5423758
2/2/2022 23:00,329.35577
2/3/2022 23:00,261.0582319
2/4/2022 23:00,121.1729267
2/5/2022 23:00,122.5175403
2/6/2022 23:00,289.8153619
2/7/2022 23:00,288.0307636
2/8/2022 23:00,319.3582042
2/9/2022 23:00,326.1827628
2/10/2022 23:00,293.4542114
2/11/2022 23:00,181.600175
2/12/2022 23:00,157.78724
2/13/2022 23:00,461.0514225
2/14/2022 23:00,487.6534531
2/15/2022 23:00,426.9552683
2/16/2022 23:00,435.9635828
2/17/2022 23:00,404.7977547
2/18/2022 23:00,272.8984964
2/19/2022 23:00,199.7083331
2/20/2022 23:00,394.3493928
2/21/2022 23:00,338.9778086
2/22/2022 23:00,361.1799911
2/23/2022 23:00,302.3289689
2/24/2022 23:00,345.4671347
2/25/2022 23:00,158.9490797
2/26/2022 23:00,154.4443353
2/27/2022 23:00,334.1718456
2/28/2022 23:00,390.63025
3/1/2022 23:00,410.24308
3/2/2022 23:00,363.2669983
3/3/2022 23:00,361.7573894
3/4/2022 23:00,153.7508578
3/5/2022 23:00,156.6254425
3/6/2022 23:00,157.2261089
3/7/2022 23:00,377.3937789
3/8/2022 23:00,412.080225
3/9/2022 23:00,327.4711058
3/10/2022 23:00,368.8013328
3/11/2022 23:00,198.0488778
3/12/2022 23:00,145.2723856
3/13/2022 23:00,481.9030775
3/14/2022 23:00,505.4137033
3/15/2022 23:00,466.0172764
3/16/2022 23:00,583.5230133
3/17/2022 23:00,492.1242308
3/18/2022 23:00,311.1630531
3/19/2022 23:00,198.8713919
3/20/2022 23:00,459.2831367
3/21/2022 23:00,471.5996494
3/22/2022 23:00,462.7817322
3/23/2022 23:00,539.1105106
3/24/2022 23:00,285.0238511
3/25/2022 23:00,266.4828672
3/26/2022 23:00,270.6188847
3/28/2022 0:00,429.4126492
3/29/2022 0:00,363.1035944
3/30/2022 0:00,328.1870828
3/31/2022 0:00,321.1702953
4/1/2022 0:00,161.7635028
4/2/2022 0:00,159.8478733
4/3/2022 0:00,168.8384936
4/4/2022 0:00,309.5397647
4/5/2022 0:00,325.544905
4/6/2022 0:00,304.2068092
4/7/2022 0:00,330.9850897
4/8/2022 0:00,345.7341717
4/9/2022 0:00,261.4635153
4/10/2022 0:00,210.5159944
