Date,Ground floor,First floor,Second floor
11/2/2021,259.0400783,38.58741833,107.4194528
11/3/2021,253.5093669,46.440105,103.0180317
11/4/2021,273.8135397,38.12765306,101.2869942
11/5/2021,250.7365736,53.5938225,110.7593789
11/6/2021,183.2873461,27.93786722,46.51712389
11/7/2021,146.6821897,13.99482028,45.68636583
11/8/2021,259.1493492,30.51202833,107.8855789
11/9/2021,239.7130617,59.65531917,118.6369311
11/10/2021,224.6472944,66.20540639,91.12819361
11/11/2021,235.3850067,63.62482111,97.167145
11/12/2021,181.2220589,52.14033972,96.35624028
11/13/2021,123.0060033,28.78918667,56.09046389
11/14/2021,103.4600033,28.80409028,46.10030222
11/15/2021,192.135735,47.98718528,89.66618833
11/16/2021,193.6655672,54.40054389,98.84934028
11/17/2021,189.0194983,56.25085472,85.96966195
11/18/2021,184.8171594,70.32134306,91.91313972
11/19/2021,178.3291331,56.25420778,91.94127028
11/20/2021,112.8845567,21.47225278,54.37352889
11/21/2021,77.45567139,21.48222111,48.80370528
11/22/2021,185.7499781,42.09104833,85.12659694
11/23/2021,200.8265692,35.35708278,78.22323611
11/24/2021,209.1856336,44.87293056,86.3424575
11/25/2021,198.8192283,42.40527417,76.07595028
11/26/2021,177.7452769,38.53828583,86.42466417
11/27/2021,92.28785278,22.35668667,57.08668111
11/28/2021,78.47576056,15.26475361,54.85507417
11/29/2021,189.9710864,31.62344639,83.49027417
11/30/2021,197.8421022,35.16077,83.61042667
12/1/2021,188.5360678,39.3455975,73.77616667
12/2/2021,183.0570181,29.14711305,96.57127555
12/3/2021,170.6572617,35.41433,114.1093733
12/4/2021,66.09134944,13.98191083,47.77662417
12/5/2021,70.00557,13.94042583,47.34656028
12/6/2021,185.6389811,35.32374667,74.0283375
12/7/2021,193.6155694,35.82098333,79.48492861
12/8/2021,234.6973425,54.63775556,81.98251611
12/9/2021,200.2379858,35.71354389,85.4216475
12/10/2021,193.610675,35.37224667,79.33419833
12/11/2021,164.9286458,19.63888667,52.91087083
12/12/2021,80.22840167,14.09975889,47.53267361
12/13/2021,184.9714767,33.73844083,76.81684778
12/14/2021,227.799725,45.96878083,89.87596556
12/15/2021,196.5810481,33.64496306,96.28443667
12/16/2021,198.0730614,34.51947917,82.20857667
12/17/2021,231.1043764,35.42395583,79.00670528
12/18/2021,157.6386944,14.30437944,47.40959083
12/19/2021,74.349525,22.75093889,42.74232306
12/20/2021,288.0871475,43.46826917,85.33931778
12/21/2021,256.2900011,47.55399472,92.81297806
12/22/2021,265.3222928,47.23931389,112.2432678
12/23/2021,267.6114078,34.54812417,94.1584675
12/24/2021,58.46163472,19.50007972,48.30415722
12/25/2021,59.47938444,19.45495333,49.74889444
12/26/2021,57.95028583,19.42377306,48.74488917
12/27/2021,172.1597861,21.31919667,61.84280389
12/28/2021,189.2343264,21.9714325,69.69404194
12/29/2021,164.6984356,19.43089028,64.63085167
12/30/2021,103.9830058,13.73498667,56.16636806
12/31/2021,64.5980425,13.75614111,50.81097528
1/1/2022,62.77926833,13.82078722,50.16857306
1/2/2022,63.78017028,13.83719944,50.76293833
1/3/2022,170.2155833,15.58832917,82.76586972
1/4/2022,164.6647822,15.87104,79.73430667
1/5/2022,154.9432683,16.93031861,84.56902472
1/6/2022,75.27910694,13.75130778,52.6821025
1/7/2022,144.3053167,21.16617611,100.0345594
1/8/2022,76.19809028,13.65489667,50.59618583
1/9/2022,75.1952975,13.71490861,45.07573361
1/10/2022,234.4940639,14.23143417,112.4208217
1/11/2022,180.5991356,17.83040111,114.9309428
1/12/2022,165.1544383,20.82497861,118.4472125
1/13/2022,166.8316069,18.78043917,114.5532811
1/14/2022,166.9282281,16.00526056,100.2044172
1/15/2022,69.59356417,14.12013361,50.76808056
1/16/2022,69.07681861,14.19729583,47.86677556
1/17/2022,228.2204428,15.54379417,114.0908819
1/18/2022,181.0456706,16.20750778,136.4760242
1/19/2022,246.0025361,16.3050775,137.9630264
1/20/2022,230.8271917,15.79167667,130.0453333
1/21/2022,180.0207397,16.79789194,126.3085389
1/22/2022,65.88845139,15.94181139,54.02805611
1/23/2022,65.89830417,16.00843389,51.58209639
1/24/2022,190.7032122,16.69279556,147.0731289
1/25/2022,220.6633761,16.83375944,143.0991253
1/26/2022,204.5501183,16.11282972,124.6782139
1/27/2022,216.0344769,15.9006725,116.4163703
1/28/2022,200.0164831,16.58480806,137.1075942
1/29/2022,65.70484528,14.15213389,59.45295278
1/30/2022,62.10637139,14.074065,53.79742806
1/31/2022,201.1261592,17.28417278,141.6240961
2/1/2022,199.0408094,15.45474139,107.1613575
2/2/2022,165.2291072,15.73392861,138.6740531
2/3/2022,175.4979658,16.30026945,132.8477778
2/4/2022,156.0953411,14.93487528,89.23511861
2/5/2022,59.70588194,14.08165556,47.34063056
2/6/2022,61.76970361,14.12082028,46.99386778
2/7/2022,162.8890644,15.7861125,111.2440278
2/8/2022,161.6185456,15.64677389,111.7525686
2/9/2022,174.3349025,15.3122775,130.0300372
2/10/2022,192.3345256,14.82137972,118.7237803
2/11/2022,172.7116864,15.7034375,105.5031961
2/12/2022,114.0727431,14.06459917,53.41523278
2/13/2022,99.63339833,14.07636583,50.2216075
2/14/2022,249.5387381,96.21671167,114.0373422
2/15/2022,253.5631753,109.6681675,121.2200319
2/16/2022,250.2806122,71.48445389,105.2879011
2/17/2022,244.1301125,75.92238639,116.1962056
2/18/2022,225.1148517,72.28582333,107.3304717
2/19/2022,160.9722286,57.326225,54.42857944
2/20/2022,92.70951361,58.93566361,48.01254972
2/21/2022,225.2585886,64.43247111,104.0219786
2/22/2022,198.7767381,50.36637778,88.54751972
2/23/2022,231.6556492,32.24085222,97.81556333
2/24/2022,190.3127961,23.70548694,88.13774694
2/25/2022,229.7704933,26.05497167,89.52393056
2/26/2022,92.67290583,14.91440472,50.78197028
2/27/2022,89.32405195,14.91353805,50.42526583
2/28/2022,217.5859297,29.23143611,87.63146972
3/1/2022,245.5583475,29.73402306,117.8055833
3/2/2022,239.5623675,37.961895,130.0831194
3/3/2022,238.1867508,25.51118305,99.79260472
3/4/2022,223.6969672,27.53950278,110.2219756
3/5/2022,88.82114555,13.96447472,50.52563361
3/6/2022,91.15485222,13.85378194,51.61487417
3/7/2022,92.65368917,13.84840917,51.39006361
3/8/2022,249.0355219,34.24556528,98.20388861
3/9/2022,256.9038022,47.72596417,103.0802078
3/10/2022,192.9214217,34.82875306,99.74036111
3/11/2022,226.6143606,31.85942333,109.8200147
3/12/2022,131.4223783,14.71516055,51.73000278
3/13/2022,80.28947583,14.86821083,50.36037722
3/14/2022,306.605395,41.56742972,140.7774469
3/15/2022,333.030805,36.09021194,132.1103169
3/16/2022,278.5745222,60.09972361,134.2240494
3/17/2022,307.4343892,153.6366431,120.2162103
3/18/2022,244.5017014,145.9248411,96.00279
3/19/2022,205.0623122,59.77395833,46.9754325
3/20/2022,76.45790639,78.23222417,45.27948417
3/21/2022,257.3641467,94.664105,103.7428225
3/22/2022,266.9042331,94.853165,109.9737933
3/23/2022,263.8495567,75.12159944,126.5137714
3/24/2022,265.4658075,159.3699067,116.6695458
3/25/2022,94.72083111,137.9194597,52.15151472
3/26/2022,84.59506389,128.7174969,53.02574139
3/27/2022,86.70960528,135.5202736,49.54724528
3/28/2022,220.0092531,111.6408764,92.10863556
3/29/2022,227.36186,42.63891028,93.07380472
3/30/2022,205.0271,40.34165805,83.07824944
3/31/2022,192.0793664,45.76355306,82.92601222
4/1/2022,97.398245,15.02406,49.40550833
4/2/2022,95.78033917,14.99886833,49.6241425
4/3/2022,105.6310061,15.03750945,48.14246972
4/4/2022,201.2258517,39.08508583,69.24623639
4/5/2022,210.1402572,41.34465889,74.23168083
4/6/2022,199.0663489,32.04949639,73.08852361
4/7/2022,220.1927981,37.18821695,75.40466444
4/8/2022,238.2575169,31.21999028,75.95009361
4/9/2022,191.9485147,15.59731806,54.27977444
4/10/2022,143.7318189,15.59619278,51.94090917
4/11/2022,236.4526056,42.64554583,73.54249889
4/12/2022,237.6247442,55.69076889,71.17214694
4/13/2022,230.5997939,56.62325222,75.97216083
4/14/2022,230.2076858,56.73616945,74.59903167
4/15/2022,212.6143631,34.31718778,72.55884139
4/16/2022,123.9163344,18.21827472,52.23212028
4/17/2022,124.8075594,18.21759333,53.63565389
4/18/2022,192.3154553,20.07403944,70.60888444
4/19/2022,159.5763539,20.10763556,66.90447111
4/20/2022,142.8619914,20.31606667,68.43659861
4/21/2022,146.9825336,19.69382555,66.01218055
4/22/2022,112.2287444,18.23921833,47.56861333
4/23/2022,117.9817058,18.22333389,49.45890278
4/24/2022,122.9189033,18.19440167,48.15496972
4/25/2022,131.9726297,18.12170222,47.48845556
4/26/2022,125.7773033,18.12333556,46.58728
4/27/2022,179.4395139,20.33289167,70.45526778
4/28/2022,203.3365597,20.972925,78.42749333
4/29/2022,194.0624533,20.47141028,77.47511444
4/30/2022,170.0760158,23.06060778,60.70432417
5/1/2022,162.6963367,24.96105222,48.31114305
5/2/2022,258.0780572,36.55083111,81.00885278
5/3/2022,300.5480433,44.37935639,83.43582139
5/4/2022,290.6231308,30.97661306,95.12257806
5/5/2022,256.2457178,50.42152833,90.325
5/6/2022,232.312875,42.19042167,73.27387972
5/7/2022,167.5954303,18.09987806,45.71118583
5/8/2022,138.0136206,18.10208555,43.10102555
5/9/2022,243.4297664,50.14298278,101.50268
5/10/2022,272.4478369,49.11067028,79.61678389
5/11/2022,250.2185747,68.01791722,98.36358306
5/12/2022,291.8800181,34.28190306,89.68913278
5/13/2022,272.1295542,59.97653111,84.59098778
5/14/2022,210.0447017,55.55859806,42.86021305
5/15/2022,147.5265531,34.37001861,42.09728361
5/16/2022,292.66216,72.18088139,93.62881972
5/17/2022,288.8396639,53.1718,93.68050667
5/18/2022,298.4331494,63.50044278,104.6048525
5/19/2022,321.7827233,44.40886778,102.5759636
5/20/2022,287.8787775,60.43516944,99.66584028
5/21/2022,149.6429008,53.14194889,46.81837444
5/22/2022,151.1722497,35.60887694,45.18006944
5/23/2022,280.6468892,47.31111639,106.02143
5/24/2022,316.1074211,37.8235275,101.4013789
5/25/2022,339.6148792,50.75655278,107.0425506
5/26/2022,325.4879847,45.08904083,108.0279314
5/27/2022,343.9314561,64.80842667,112.4730378
5/28/2022,160.8283158,45.15104639,57.78712139
5/29/2022,160.3014306,44.65006694,47.17105972
5/30/2022,319.6587686,49.57445139,132.8252044
5/31/2022,303.6173525,47.06171611,115.0004175
6/1/2022,362.6878219,46.74603361,125.4083631
6/2/2022,385.6207047,46.06221055,127.3510364
6/3/2022,329.9599639,42.36285195,112.2202583
6/4/2022,226.5150817,39.4925875,61.59579028
6/5/2022,171.6531761,41.77099167,46.41780722
6/6/2022,380.1514644,93.96680083,115.7520764
6/7/2022,404.9530706,78.57162472,123.9650811
6/8/2022,351.4991583,116.5434333,122.1843147
6/9/2022,349.5467358,115.5770747,119.0907133
6/10/2022,369.6840997,95.89804444,115.9941217
6/11/2022,241.9504614,82.31635278,49.51089222
6/12/2022,161.1557786,74.97640583,45.83868945
6/13/2022,159.3281958,66.54361528,52.43207306
6/14/2022,315.7556125,69.06042611,132.5632961
6/15/2022,289.8296708,66.83083083,121.4388667
6/16/2022,297.3580792,72.2499425,123.6339058
6/17/2022,299.7503297,76.044805,107.9595894
6/18/2022,169.3103561,75.9866775,46.35969361
6/19/2022,169.6087094,75.31117472,44.7812825
6/20/2022,300.8487139,78.008815,129.3019031
6/21/2022,286.3262597,72.63660583,122.5660503
6/22/2022,268.3084483,72.16449611,126.0941633
